iter	Passed	Remaining
0	141	141334
1	142	71009
2	143	47573
3	143	35827
4	144	28797
5	145	24071
6	146	20718
7	146	18221
8	147	16258
9	148	14706
10	149	13431
11	150	12368
12	150	11460
13	151	10681
14	152	10012
15	153	9433
16	154	8925
17	155	8465
18	155	8050
19	156	7679
20	157	7341
21	158	7039
22	159	6764
23	159	6503
24	160	6259
25	161	6033
26	161	5827
27	162	5644
28	163	5465
29	163	5296
30	164	5141
31	165	4998
32	165	4858
33	166	4732
34	167	4615
35	168	4501
36	169	4400
37	169	4297
38	170	4200
39	171	4107
40	171	4020
41	172	3936
42	173	3857
43	174	3781
44	174	3706
45	175	3637
46	175	3568
47	176	3505
48	177	3444
49	178	3384
50	178	3327
51	179	3270
52	179	3215
53	180	3164
54	181	3115
55	181	3067
56	182	3023
57	183	2980
58	184	2938
59	184	2895
60	185	2853
61	185	2812
62	186	2774
63	187	2738
64	187	2702
65	188	2666
66	189	2632
67	189	2598
68	190	2568
69	191	2538
70	191	2507
71	192	2476
72	192	2448
73	193	2420
74	194	2393
75	194	2368
76	195	2342
77	196	2317
78	196	2292
79	197	2268
80	198	2246
81	198	2226
82	199	2200
83	199	2178
84	200	2157
85	200	2135
86	201	2114
87	202	2094
88	202	2074
89	203	2054
90	203	2036
91	204	2018
92	205	2000
93	205	1982
94	206	1966
95	207	1950
96	207	1934
97	208	1917
98	209	1902
99	209	1887
100	210	1871
101	210	1856
102	211	1841
103	212	1828
104	212	1814
105	213	1802
106	214	1789
107	215	1776
108	215	1762
109	216	1750
110	216	1737
111	217	1724
112	218	1712
113	218	1702
114	219	1689
115	220	1678
116	220	1665
117	221	1654
118	221	1642
119	222	1631
120	223	1619
121	223	1608
122	224	1597
123	224	1587
124	225	1577
125	225	1567
126	226	1556
127	227	1546
128	227	1537
129	228	1529
130	229	1521
131	229	1512
132	230	1503
133	231	1495
134	231	1486
135	232	1477
136	233	1469
137	233	1460
138	234	1452
139	235	1444
140	235	1436
141	236	1427
142	236	1419
143	237	1411
144	238	1403
145	238	1396
146	239	1389
147	240	1381
148	240	1374
149	241	1367
150	241	1359
151	242	1353
152	243	1348
153	244	1342
154	245	1335
155	245	1329
156	246	1322
157	246	1316
158	247	1309
159	248	1303
160	248	1296
161	249	1290
162	250	1283
163	250	1278
164	251	1272
165	252	1266
166	252	1260
167	253	1254
168	254	1249
169	254	1243
170	255	1237
171	256	1232
172	256	1227
173	257	1222
174	258	1218
175	259	1213
176	259	1208
177	260	1204
178	261	1199
179	262	1194
180	262	1189
181	263	1184
182	264	1178
183	265	1176
184	265	1171
185	266	1166
186	267	1162
187	268	1157
188	268	1153
189	269	1148
190	269	1143
191	270	1138
192	271	1133
193	271	1129
194	272	1125
195	273	1122
196	274	1120
197	275	1116
198	276	1112
199	276	1107
200	277	1103
201	278	1099
202	278	1095
203	279	1090
204	280	1086
205	280	1082
206	281	1078
207	282	1073
208	282	1070
209	283	1066
210	284	1062
211	284	1058
212	285	1054
213	286	1050
214	286	1046
215	287	1044
216	288	1041
217	289	1038
218	290	1034
219	290	1030
220	291	1027
221	292	1023
222	292	1020
223	293	1016
224	294	1012
225	294	1008
226	295	1005
227	295	1001
228	296	998
229	297	994
230	297	991
231	298	988
232	299	984
233	299	981
234	300	978
235	301	974
236	301	971
237	302	968
238	303	965
239	303	962
240	304	958
241	305	955
242	305	952
243	306	949
244	307	946
245	307	942
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	923
252	311	920
253	312	917
254	313	914
255	313	912
256	314	909
257	315	906
258	315	903
259	316	901
260	317	899
261	318	897
262	319	894
263	320	892
264	321	890
265	321	888
266	322	885
267	323	883
268	324	880
269	324	877
270	325	874
271	326	872
272	326	870
273	327	868
274	328	865
275	328	862
276	329	859
277	330	857
278	330	854
279	331	852
280	332	850
281	333	848
282	334	846
283	334	843
284	335	841
285	335	838
286	336	836
287	337	833
